"197046, Санкт-Петербург (г.), Куйбышева (ул.), д.1/5, Строение А"
"197101, Санкт-Петербург (г.), Красного Курсанта (ул.), д.25, Строение А"
"197136, Санкт-Петербург г, Ленина ул, д.20"
"197022, Санкт-Петербург (г.), Санкт-Петербург г, Ординарная ул, д.19"
"197022, Санкт-Петербург (г.), Санкт-Петербург г, Ординарная ул, д.20"
"197101, Санкт-Петербург (г.), Санкт-Петербург г, Монетная Б. ул, д.8"
"197110, Санкт-Петербург г, Петровский остров, д.10"
"197022, Санкт-Петербург (г.), Аптекарский (пр-кт.), д.18, Строение А"
"197110, Санкт-Петербург г, Разночинная Б. ул, д.25"
"197101, Санкт-Петербург г, Пушкарская М. ул, д.20/4"
"197022, Санкт-Петербург г, Профессора Попова ул, д.31"
"198504, Санкт-Петербург г, Петергоф г, Шахматова ул, д.16, Строение 1"
"198510, Санкт-Петербург г, Петергоф г, Суворовский городок, д.17"
"198412, Санкт-Петербург г, Ломоносов г, Михайловская ул, д.24/22, Строение 22"
"198412, Санкт-Петербург г, Ломоносов г, Красноармейская ул, д.3"
"198504, Санкт-Петербург г, Петергоф г, Ботаническая ул, д.6"
"197342, Санкт-Петербург (г.), Торжковская (ул.), д.9, Строение 2"
"197350, Санкт-Петербург (г.), Парашютная (ул.), д.36, Строение 2"
"197372, Санкт-Петербург (г.), Яхтенная (ул.), д.28, Строение 1"
"197348, Санкт-Петербург (г.), Коломяжский (пр-кт.), д.15, Строение 2"
"197343, Санкт-Петербург г, Омская ул, д.18"
"197373, Санкт-Петербург (г.), Санкт-Петербург г, Комендантский пр., д.60, 2"
"197341, Санкт-Петербург г, Королева пр-кт, д.17"
"197183, Санкт-Петербург г, Дибуновская ул, д.10"
"197375, Санкт-Петербург г, Новоколомяжский пр-кт, д.3"
"190000, Санкт-Петербург (г.), Верхне-Каменская (ул.), д.7"
"197371, Санкт-Петербург г, Королева пр-кт, д.42, Строение 2"
"197343, Санкт-Петербург г, Омская ул, д.25"
"197227, Санкт-Петербург г, Гаккелевская ул, д.33, Строение 2"
"197372, Санкт-Петербург г, Богатырский пр-кт, д.50, Строение 3"
"197374, Санкт-Петербург (г.), Оптиков ул., д.31, 2, А"
"197350, Санкт-Петербург г, Комендантский пр-кт, д.35, Строение 4"
"197373, Санкт-Петербург (г.), Авиаконструкторов (пр-кт.), д.31, 2, А"
"197348, Санкт-Петербург г, Богатырский пр-кт, д.5, Строение 4"
"197374, Санкт-Петербург (г.), Санкт-Петербург г, Савушкина ул, д.128, 2,А"
"197373, Санкт-Петербург г, Планерная ул, д.55, Строение 2"
"197371, Санкт-Петербург г, Шаврова ул, д.25, Строение 2"
"197372, Санкт-Петербург г, Камышовая ул, д.22, Строение 2"
"197372, Санкт-Петербург г, Богатырский пр-кт, д.36, Строение 2"
"197375, Санкт-Петербург г, Репищева ул, д.17, Строение 2"
"197755, Санкт-Петербург г, Новоцентральная ул, д.21/7"
"197229, Санкт-Петербург г, Хвойная ул, д.35"
"197373, Санкт-Петербург (г.), Санкт-Петербург г, Авиаконструкторов пр-кт, д.23/2"
"197374, Санкт-Петербург г, Школьная ул, д.110, Строение 2"
"197082, Санкт-Петербург (г.), Туристская (ул.), д.28, Строение 2"
"196603, Санкт-Петербург (г.), Пушкин (г.), Красносельское (ш.), д.57, Строение А"
"196601, Санкт-Петербург г, Пушкин г, Новодеревенская ул, д.1"
"196608, Санкт-Петербург г, Пушкин г, Ахматовская ул, д.13"
"196605, Санкт-Петербург г, Пушкин г, Детскосельский б-р, д.3"
"196625, Санкт-Петербург г, Тярлевская ул, д.12"
"196626, Санкт-Петербург г, Вишерская ул, д.3, Строение 1"
"196632, Санкт-Петербург г, Пушкин г, Лесное п, д.12"
"196601, Санкт-Петербург г, Пушкин г, Пушкинская ул, д.49"
"196657, Санкт-Петербург г, Волховская (Новая Ижора) ул, д.3"
"192238, Санкт-Петербург г, Бухарестская ул, д.68, Строение 3"
"192283, Санкт-Петербург г, Купчинская ул, д.29, Строение 2"
"192288, Санкт-Петербург г, Ярослава Гашека ул, д.30, Строение 2"
"192283, Санкт-Петербург г, Загребский б-р, д.35, Строение 2"
"192286, Санкт-Петербург г, Славы пр-кт, д.23, Строение 2"
"192212, Санкт-Петербург г, Славы пр-кт, д.14"
"192239, Санкт-Петербург г, Славы пр-кт, д.19, Строение 2"
"192102, Санкт-Петербург г, Стрельбищенская ул, д.8"
"192286, Санкт-Петербург г, Бухарестская ул, д.51"
"192102, Санкт-Петербург (г.), Санкт-Петербург г, Волковский пр-кт, д.20"
"192212, Санкт-Петербург г, Будапештская ул, д.23, Строение 3"
"192242, Санкт-Петербург г, Турку ул, д.2, Строение 2"
"192238, Санкт-Петербург (г.), Южное (ш.), д.49, Строение 4"
"192284, Санкт-Петербург г, Купчинская ул, д.11, Строение 3"
"192212, Санкт-Петербург г, Славы пр-кт, д.6, Строение 2, литер А"
"192283, Санкт-Петербург г, Будапештская ул, д.93"
"191024, Санкт-Петербург г, Конная ул, д.9"
"191167, Санкт-Петербург г, Александра Невского ул, д.7"
"191167, Санкт-Петербург г, Невский пр-кт, д.182"
"191186, Санкт-Петербург г, Миллионная ул, д.23"
"191015, Санкт-Петербург г, Таврическая ул, д.2, Строение г"
"191015, Санкт-Петербург г, Очаковская ул, д.2, Строение А"
"191124, Санкт-Петербург г, Новгородская ул, д.25"
"191124, Санкт-Петербург (г.), Санкт-Петербург, Тульская, д.9"
"191025, Санкт-Петербург г, Марата ул, д.16"
"191025, Санкт-Петербург г, Маяковского ул, д.1/96"
"191002, Санкт-Петербург г, Ломоносова ул, д.18"
"191024, Санкт-Петербург г, Советская 2-я ул, д.27/2"
"191014, Санкт-Петербург, Маяковского ул, д.9/16"
"191002, Санкт-Петербург г, Реки Фонтанки наб, д.52"
"191002, Санкт-Петербург г, Реки Фонтанки наб, д.62"
"Боровая, д.46"
"Морская наб., д.31"
"1 Красноармейская, д.14"
"А. Блока, д.8"
"Ветеранов, д.87"
"Казначейская, д.1/61"
"Кирочная , д.33"
"Маршала Казакова, д.1"
"Лебедева Академика, д.18"
"Жуковского , д.22"
"Витебская, д.6-8"
"Дачный, д.22/96"
"20 линия, д.15"
"Галерная, д.43"
"Дачный, д.32"
"Садовая, д.88"
"Кирилловская , д.13"
"Трамвайный, д.15"
"Большой пр В.О., д.10"
"Маяковского , д.52"
"Дальневосточный, д.46/28"
"Ветеранов, д.71"
"Маршала Захарова, д.28"
"Чайковского , д.36"
"Червоного Казачества, д.4"
"Садовая, д.112-114"
"Димитрова, д.26"
"9 линия, д.50"
"Восстания, д.42а"
"Таврическая, д.43"
"4 Советская , д.37а"
"Белградская, д.18"
"Декабристов, д.46"
"10 линия, д.55"
"7 Красноармейская, д.9"
"Морская наб., д.9"
"Мечникова, д.3"
"Садовая, д.109"
"Краснопутиловская, д.13/10"
"1 Красноармейская, д.22"
"Большой пр В.О., д.35 А"
"Шкапина, д.22"
"Московский , д.36"
"Малый пр В.О., д.3"
"4 Советская , д.27"
"Орджоникидзе, д.59"
"Таврическая, д.37"
"Космонавтов, д.76"
"Краснопутиловская, д.30"
"Малодетскосельский, д.27"
"Октябрьская наб., д.92"
"Суворовский , д.42"
"Стойкости, д.5"
"Гашека Ярослава, д.24"
"Лени Голикова, д.90"
"Блюхера Маршала, д.67"
"Таврическая, д.29"
"наб. реки Мойки, д.85"
"Гладкова, д.39"
"Полюстровский, д.35"
"Купчинская, д.3"
"7 Советская , д.3"
"Турбинная, д.39"
"Маршала Захарова, д.35"
"Победы пл., д.3"
"Большевиков, д.63"
" пр Стачек , д.188"
"Херсонская, д.21"
"Моховая, д.36"
"Столярный пер, д.9"
"Лиговский , д.233"
"1 Красноармейская, д.6"
"Полюстровский, д.33"
"Рыбацкий, д.18"
"2 Красноармейская, д.2"
"Римского-Корсакова, д.15"
"Брюсовская, д.2"
"Металлистов, д.128"
"Саперный пер. , д.12"
"Литейный, д.31"
"Дундича Олеко, д.5"
"Вознесенский, д.33б"
"Краснопутиловская, д.50"
"Суворовский , д.43-45    "
"Канонерская, д.23"
"Лени Голикова, д.50"
"Московский, д.57"
"10 Советская , д.1-3"
"Маршала Захарова, д.52"
"Рыбацкий, д.9"
"Курляндская, д.34"
"Бакунина , д.11"
"Московский , д.182"
"Лиговский , д.201"
"Серпуховская , д.4"
"11 Красноармейская, д.11"
"Средний, д.77"
"Верейская , д.27"
"наб. Обводного кан., д.209"
"наб. кан. Грибоедова, д.148-150"
"Бульвар Новаторов, д.62"
"Искровский, д.33"
"Замшина, д.54"
"Кирочная , д.4"
"Лодыгина, д.5"
"8 Советская , д.17-19 "
"Малодетскосельский, д.28"
"Кустарный, д.4"
"Купчинская, д.16"
"8 линия, д.17А"
"Железноводская, д.62"
"Фурштатская, д.54"
"Червоного Казачества, д.14"
"Автовская, д.5"
"Садовая, д.126"
"Малодетскосельский, д.34"
"Советский, д.5"
"Смирнова Комиссара, д.6/5"
"Новоизмайловский, д.28"
"Пискаревский, д.32"
"Будапештская, д.40"
"Столярный пер, д.11/9"
"Костюшко, д.72"
"Шлиссельбургский, д.31"
"Бульвар Новаторов, д.108"
"Чайковского , д.22"
"Зайцева, д.29"
"Рыбацкий, д.1"
"Типанова, д.21"
"Революции, д.12"
"Дачный, д.14"
"Ветеранов, д.110"
"Новостроек, д.22"
"Московский , д.163"
"Бронницкая , д.26"
"Витебский, д.21"
"Бульвар Новаторов, д.58"
"Университетская наб., д.23"
"Виленский пер. , д.3"
"Моисеенко, д.2а"
"Дегтярный пер., д.28"
"5 Красноармейская, д.7"
"15 линия, д.64"
"Апрельская, д.4"
"Малый пр В.О., д.22"
"наб. реки Фонтанки, д.96"
"10 линия, д.45"
"Дачный, д.26"
"Зины Портновой, д.48"
"Маршала Жукова, д.68"
"Бухарестская, д.84"
"7 линия, д.62"
"14 линия, д.7"
"Трефолева, д.27"
"Караваевская, д.32"
"Лесной., д.2"
"Севастьянова, д.3"
"Пулковская, д.10"
"Ефимова, д.3"
"Космонавтов, д.70"
"Садовая, д.67"
"Кирочная , д.32-34"
"Декабристов, д.4"
"Витебский, д.65"
"Большой пр В.О., д.18"
"Кондратьевский, д.38"
"Блюхера Маршала, д.59"
"6 Советская , д.31"
"Октябрьская наб., д.84"
"Подольская , д.19"
"8 Красноармейская, д.14"
"Большой пр В.О., д.99"
"Чайковского , д.43"
"Зины Портновой, д.34"
"Маршала Жукова, д.74"
"15 линия, д.28Г"
"Псковская, д.17"
"Средний, д.82"
"Басков пер., д.36"
"Стойкости, д.12"
"Малодетскосельский, д.33/48 "
"Будапештская, д.66"
" пр Стачек , д.88"
"Брюсовская, д.12"
"Галерная, д.33/35"
"Кирочная , д.46"
"Средний, д.35 Б"
"Галерная, д.47"
"4 линия, д.61"
"Среднегаванский пр, д.12"
"Бухарестская, д.57"
"Генерала Симоняка, д.8"
"Гороховая, д.3"
"Большая Морская, д.58"
"Россия, Санкт-Петербург, Придорожная аллея, 5"
"Россия, Санкт-Петербург, Муринская дорога, 59к1"
"Санкт-Петербург, Лиговский проспект, 87В"
"Россия, Санкт-Петербург, 3-я Советская улица, 7"
"Россия, Санкт-Петербург, улица Профессора Попова, 27"
"Россия, Санкт-Петербург, проспект Маршала Жукова, 58к3"
"Россия, Санкт-Петербург, проспект Пархоменко, 5"
"Россия, Санкт-Петербург, Тверская улица, 18"
"Россия, Санкт-Петербург, улица Комиссара Смирнова, 5/2"
"Россия, Санкт-Петербург, проспект Энгельса, 22"
"Россия, Санкт-Петербург, Ленинский проспект, 106"
"Россия, Санкт-Петербург, проспект Энгельса, 135"
"Санкт-Петербург, Лиговский проспект, 271"
"Россия, Санкт-Петербург, Комендантский проспект, 32к3"
